title,licensee,release
Terra Cresta,Vic Tokai,March 1990
Tetris,Nintendo,November 1989
Tetris 2,Nintendo,October 1993
"Three Stooges, The",Activision,October 1989
Thunder & Lightning,Romstar,December 1990
Thunderbirds,Activision,September 1990
Thundercade,American Sammy,July 1989
Tiger-Heli,Acclaim,September 1987
Time Lord,Milton Bradley,September 1990
Times of Lore,Toho,May 1991
Tiny Toon Adventures,Konami,December 1991
Tiny Toon Adventures 2: Trouble in Wackyland,Konami,April 1993
Tiny Toon Adventures Cartoon Workshop,Konami,December 1992
To the Earth,Nintendo,November 1989
Toki,Taito Software,December 1991
Tom & Jerry,Hi-Tech,December 1991
Tombs & Treasure,Activision,June 1991
Top Gun,Konami,November 1987
Top Gun: The Second Mission,Konami,January 1990
Total Recall,Acclaim,August 1990
Totally Rad,Jaleco,March 1991
Touchdown Fever,SNK,February 1991
Town & Country II: Thrilla's Surfari,Acclaim,March 1992
Town & Country Surf Designs,LJN,February 1988
Toxic Crusaders,Bandai,April 1992
Track & Field,Konami,April 1987
Track & Field II,Konami,June 1989
Treasure Master,American Softworks,December 1991
Trog,Acclaim,October 1991
Trojan,Capcom,February 1987
Twin Cobra,American Sammy,January 1990
Twin Eagle,Romstar,October 1989
Ultima: Exodus,FCI,February 1989
Ultima: Quest of the Avatar,FCI,December 1990
Ultima: Warriors of Destiny,FCI,January 1993
Ultimate Air Combat,Activision,April 1992
Ultimate Basketball,American Sammy,September 1990
Uncharted Waters,Koei,November 1991
Uninvited,Seika,June 1991
"Untouchables, The",Ocean,January 1991
Urban Champion,Nintendo,June 1986
Vegas Dream,Hal America,March 1990
Vice: Project Doom,American Sammy,November 1991
Videomation,THQ,June 1991
Volleyball,Nintendo,March 1987
Wacky Races,Atlus Software,May 1992
Wall Street Kid,Sofel,June 1990
Wario's Woods,Nintendo,December 1994
Wayne Gretzky Hockey,THQ,January 1991
Wayne's World,THQ,November 1993
Werewolf: The Last Warrior,Data East,November 1990
Wheel of Fortune,Gametek,September 1988
